Id,sasa,eig_wt_final_sym,modularity_class
1190,5.784139,0.001441,1
1180,5.938168,0.00144,0
545,6.273003,0.001438,0
644,6.252185,0.001415,1
352,5.81567,0.00141,0
435,5.038379,0.001408,0
773,4.98985,0.001406,0
561,4.693944,0.0014,0
595,5.96872,0.001386,1
67,5.580492,0.001381,4
783,6.101959,0.001381,4
698,6.221964,0.001348,4
716,5.378346,0.001348,0
1020,5.914744,0.001302,0
879,6.17017,0.001287,4
876,6.094827,0.001285,1
195,6.035993,0.001281,0
920,6.157049,0.00126,0
759,5.65686,0.001218,0
832,5.152193,0.001217,0
1091,6.062767,0.001198,0
440,5.76356,0.001193,1
1124,5.707144,0.00118,0
395,5.984539,0.00116,4
63,5.439634,0.001153,0
6,5.601775,0.00115,1
622,5.202524,0.001146,0
505,6.128777,0.001122,4
475,4.952721,0.001114,0
547,5.976367,0.001088,1
1132,6.066008,0.001082,0
685,5.470107,0.001076,0
95,5.966859,0.001067,3
107,6.277905,0.001063,4
878,5.854041,0.00106,3
216,6.241844,0.001042,4
2,5.248779,0.001039,0
955,5.182195,0.001033,0
802,5.792197,0.001029,4
1080,5.292017,0.001018,1
1009,4.976013,0.001013,0
366,6.157303,0.001012,1
506,5.113923,0.001006,0
562,5.726461,0.000999,0
271,6.069419,0.000995,4
835,5.753237,0.000987,4
35,5.432763,0.000968,0
703,6.21409,0.000951,0
296,5.187115,0.000947,1
861,6.069292,0.000939,0
713,5.55487,0.000923,4
512,6.045248,0.00092,4
200,4.955585,0.000919,0
745,5.672435,0.000903,1
791,6.008002,0.000902,1
57,6.08309,0.000894,0
480,6.093012,0.000893,1
1018,6.068582,0.00089,1
870,5.866281,0.00089,0
341,5.888526,0.000889,1
1092,5.578246,0.000875,1
977,6.133672,0.000866,0
454,5.80462,0.000863,0
1145,5.556191,0.000859,4
559,6.17457,0.000852,1
174,6.129222,0.000845,0
138,5.939966,0.000839,0
370,5.802709,0.000835,4
670,5.449378,0.000833,1
962,5.531296,0.000815,0
94,5.210612,0.000815,0
837,6.114064,0.000804,3
468,6.402618,0.000793,0
393,5.50953,0.000788,1
631,5.755344,0.000785,0
451,6.249105,0.000784,3
40,5.988824,0.000782,0
1000,5.638996,0.000782,0
1034,5.654334,0.00078,0
1045,5.622907,0.000774,0
964,6.304965,0.000772,0
268,5.538817,0.000767,0
109,5.842144,0.000764,1
599,6.181365,0.000759,0
303,6.094661,0.000757,0
969,6.23393,0.000756,1
1106,5.692035,0.000753,0
387,5.697012,0.000753,1
427,5.695322,0.000737,1
831,6.059961,0.000734,4
772,6.200584,0.000734,1
502,5.55719,0.000727,1
354,6.042338,0.000715,1
447,5.816068,0.000712,1
100,5.683382,0.000704,0
64,6.17364,0.000698,1
