Id,sasa,eig_wt_final_sym,modularity_class
299,5.966043,0.000001,3
692,6.471479,0.000001,5
719,6.124055,0.000001,3
1175,6.611613,0.000001,5
853,6.584774,0.000001,3
904,6.089372,0.000001,1
140,5.907017,0.000001,0
259,6.244867,0.000001,5
788,6.82952,0.000001,5
1109,6.808677,0.000001,3
1057,6.286254,0.000001,3
557,5.646827,0.000001,3
13,6.3508,0.000001,5
531,5.975566,0.000001,3
88,6.58131,0.000001,3
862,6.420664,0.000001,3
558,6.077313,0.000001,3
59,6.17343,0.000001,5
231,6.572846,0.000001,5
161,6.226262,0.000001,5
1083,6.538509,0.000001,3
717,6.224255,0.000001,3
351,6.350677,0.000001,5
1044,6.100986,0.000001,5
811,6.446523,0.000001,5
928,6.636425,0.000001,5
332,6.462813,0.000001,3
995,6.222435,0.000001,5
1102,6.509998,0.000001,5
492,5.920508,0.000001,3
1039,6.169422,0.000001,4
408,5.897436,0.000001,3
661,6.268549,0.000001,5
1101,6.506284,0.000001,3
563,6.261839,0.000001,3
786,6.412966,0.000001,5
947,5.774248,0.000001,1
500,6.240409,0.000001,3
297,6.269251,0,3
190,6.114162,0,3
473,6.497539,0,5
269,6.43556,0,5
640,6.164342,0,5
1049,6.340611,0,3
1008,6.149146,0,3
124,6.286844,0,5
842,6.521377,0,5
187,6.082709,0,4
652,6.213483,0,4
527,6.602185,0,3
390,6.698485,0,3
210,6.048375,0,5
827,5.075382,0,0
430,6.462392,0,3
76,6.914879,0,5
804,6.017734,0,0
253,6.071557,0,3
524,6.039788,0,3
985,6.56773,0,5
511,6.2589,0,5
923,6.13673,0,3
1167,6.424417,0,5
989,6.573911,0,5
649,6.670541,0,5
329,6.249973,0,5
87,6.875113,0,5
608,6.458562,0,5
704,5.193828,0,0
130,6.629244,0,5
931,6.21313,0,5
1059,5.788046,0,3
627,6.525836,0,5
665,6.232119,0,3
248,6.556844,0,5
746,6.701141,0,5
863,6.830967,0,5
763,5.379231,0,5
1015,6.378939,0,3
894,6.209703,0,5
1173,6.137046,0,3
548,5.879163,0,3
363,6.312622,0,5
105,6.387251,0,3
998,6.193638,0,5
606,6.675098,0,5
257,5.189492,0,0
412,6.650933,0,5
379,6.36101,0,5
159,6.307233,0,3
707,6.357122,0,5
814,6.243023,0,3
471,5.280433,0,1
206,5.409513,0,4
958,6.459833,0,5
933,5.856781,0,4
848,6.488849,0,3
1166,6.608952,0,0
780,6.786534,0,3
125,5.887215,0,5
188,6.500364,0,3
106,6.008983,0,3
3,6.294307,0,5
983,6.547684,0,5
1182,6.596305,0,5
359,6.845886,0,3
377,6.56871,0,5
423,6.760321,0,5
418,6.683883,0,5
709,5.754832,0,5
177,6.323837,0,5
1129,6.348284,0,5
399,6.82869,0,5
1095,6.371124,0,5
308,6.100013,0,5
193,6.984817,0,5
442,5.902036,0,3
554,6.007563,0,3
465,5.89194,0,5
515,6.235764,0,1
334,6.403112,0,3
765,5.835021,0,5
1105,5.889347,0,5
349,6.219859,0,5
1099,6.586611,0,5
630,6.358785,0,5
386,6.089449,0,3
750,6.323202,0,4
249,6.591249,0,5
431,6.585513,0,5
4,6.404041,0,3
1107,6.256903,0,5
256,5.684676,0,4
220,6.479527,0,3
787,6.427627,0,5
31,6.282083,0,4
371,6.119795,0,0
344,5.292012,0,5
433,6.558128,0,5
458,5.943195,0,5
464,6.637065,0,5
533,6.46872,0,3
252,5.906129,0,5
896,5.99446,0,4
575,6.463405,0,5
260,5.242914,0,3
25,6.86704,0,5
747,6.405085,0,5
33,6.911444,0,5
99,6.781758,0,5
312,6.683132,0,3
29,6.171747,0,5
422,6.625105,0,5
144,4.920439,0,0
375,6.269456,0,5
903,4.892587,0,0
461,6.436159,0,5
478,6.146218,0,4
956,5.914493,0,4
310,6.163077,0,5
1140,5.934251,0,3
1066,6.785032,0,5
291,6.100351,0,4
647,6.282186,0,4
509,5.504001,0,3
459,6.771697,0,5
477,6.65195,0,5
157,6.125887,0,4
957,6.37453,0,5
593,6.171249,0,4
20,6.234914,0,4
55,5.849724,0,4
322,6.099383,0,3
493,4.140024,0,0
613,6.729903,0,3
121,6.660502,0,3
577,6.059683,0,4
36,6.916886,0,5
114,4.238133,0,0
116,5.784569,0,4
261,6.028064,0,4
406,4.963967,0,0
450,6.017577,0,4
497,6.138967,0,4
597,6.16809,0,4
823,6.617633,0,5
1081,6.181313,0,4
46,6.774859,0,5
82,6.625852,0,5
120,6.858924,0,5
127,6.446946,0,5
141,6.657909,0,5
218,6.335571,0,5
219,6.381341,0,5
243,6.565903,0,5
293,6.295553,0,4
304,6.506063,0,5
309,4.96515,0,0
376,4.871044,0,4
404,6.687986,0,5
407,5.173705,0,0
417,5.465571,0,3
420,6.142247,0,0
421,5.263791,0,0
446,6.462458,0,6
449,6.638943,0,5
510,4.118413,0,0
543,6.266238,0,5
570,5.007922,0,0
591,6.384295,0,5
766,5.286697,0,0
818,6.166362,0,4
865,5.220641,0,0
900,6.417897,0,5
987,5.088141,0,1
1031,5.391858,0,0
1037,6.377238,0,5
1093,5.727993,0,4
1148,6.427483,0,4
